subject,genre,precision,recall,f1_score,support
sub-001,blues,0.1935483870967742,0.25,0.21818181818181817,48.0
sub-001,classical,0.6818181818181818,0.625,0.6521739130434783,48.0
sub-001,country,0.18867924528301888,0.20833333333333334,0.19801980198019803,48.0
sub-001,disco,0.2857142857142857,0.25,0.26666666666666666,48.0
sub-001,hiphop,0.5833333333333334,0.5833333333333334,0.5833333333333334,48.0
sub-001,jazz,0.3333333333333333,0.4166666666666667,0.37037037037037035,48.0
sub-001,metal,0.45714285714285713,0.3333333333333333,0.3855421686746988,48.0
sub-001,pop,0.3181818181818182,0.2916666666666667,0.30434782608695654,48.0
sub-001,reggae,0.20408163265306123,0.20833333333333334,0.20618556701030927,48.0
sub-001,rock,0.09302325581395349,0.08333333333333333,0.08791208791208792,48.0
sub-002,blues,0.2222222222222222,0.20833333333333334,0.21505376344086022,48.0
sub-002,classical,0.5925925925925926,0.6666666666666666,0.6274509803921569,48.0
sub-002,country,0.23255813953488372,0.20833333333333334,0.21978021978021978,48.0
sub-002,disco,0.15789473684210525,0.1875,0.17142857142857143,48.0
sub-002,hiphop,0.6,0.5625,0.5806451612903226,48.0
sub-002,jazz,0.38636363636363635,0.3541666666666667,0.3695652173913043,48.0
sub-002,metal,0.32,0.3333333333333333,0.32653061224489793,48.0
sub-002,pop,0.45454545454545453,0.4166666666666667,0.43478260869565216,48.0
sub-002,reggae,0.3333333333333333,0.3333333333333333,0.3333333333333333,48.0
sub-002,rock,0.14,0.14583333333333334,0.14285714285714285,48.0
sub-003,blues,0.2727272727272727,0.3125,0.2912621359223301,48.0
sub-003,classical,0.631578947368421,0.75,0.6857142857142857,48.0
sub-003,country,0.35294117647058826,0.375,0.36363636363636365,48.0
sub-003,disco,0.25,0.25,0.25,48.0
sub-003,hiphop,0.4716981132075472,0.5208333333333334,0.49504950495049505,48.0
sub-003,jazz,0.574468085106383,0.5625,0.5684210526315789,48.0
sub-003,metal,0.391304347826087,0.375,0.3829787234042553,48.0
sub-003,pop,0.3958333333333333,0.3958333333333333,0.3958333333333333,48.0
sub-003,reggae,0.3333333333333333,0.2708333333333333,0.2988505747126437,48.0
sub-003,rock,0.25,0.1875,0.21428571428571427,48.0
sub-004,blues,0.12962962962962962,0.14583333333333334,0.13725490196078433,48.0
sub-004,classical,0.7,0.5833333333333334,0.6363636363636364,48.0
sub-004,country,0.19148936170212766,0.1875,0.18947368421052632,48.0
sub-004,disco,0.19230769230769232,0.20833333333333334,0.2,48.0
sub-004,hiphop,0.52,0.5416666666666666,0.5306122448979592,48.0
sub-004,jazz,0.3877551020408163,0.3958333333333333,0.3917525773195876,48.0
sub-004,metal,0.1956521739130435,0.1875,0.19148936170212766,48.0
sub-004,pop,0.2549019607843137,0.2708333333333333,0.26262626262626265,48.0
sub-004,reggae,0.1111111111111111,0.10416666666666667,0.10752688172043011,48.0
sub-004,rock,0.08695652173913043,0.08333333333333333,0.0851063829787234,48.0
sub-005,blues,0.22950819672131148,0.2916666666666667,0.25688073394495414,48.0
sub-005,classical,0.7441860465116279,0.6666666666666666,0.7032967032967034,48.0
sub-005,country,0.2708333333333333,0.2708333333333333,0.2708333333333333,48.0
sub-005,disco,0.14285714285714285,0.14583333333333334,0.14432989690721648,48.0
sub-005,hiphop,0.6521739130434783,0.625,0.6382978723404256,48.0
sub-005,jazz,0.5227272727272727,0.4791666666666667,0.5,48.0
sub-005,metal,0.35294117647058826,0.375,0.36363636363636365,48.0
sub-005,pop,0.30434782608695654,0.2916666666666667,0.2978723404255319,48.0
sub-005,reggae,0.26785714285714285,0.3125,0.28846153846153844,48.0
sub-005,rock,0.16666666666666666,0.125,0.14285714285714285,48.0
