subject,n_samples,n_voxels,n_runs,n_classes,accuracy,balanced_accuracy,run_bootstrap_ci_low,run_bootstrap_ci_high,chance_level,k,C,kernel,elapsed_seconds
sub-001,480,60784,12,10,0.325,0.32500000000000007,0.28958333333333336,0.3583333333333334,0.1,1300,1.0,linear,4.0
sub-002,480,53927,12,10,0.3416666666666667,0.3416666666666667,0.30208333333333337,0.38958333333333334,0.1,1300,1.0,linear,3.64
sub-003,480,64700,12,10,0.4,0.4,0.3645833333333333,0.4354166666666666,0.1,1300,1.0,linear,4.23
sub-004,480,61899,12,10,0.2708333333333333,0.2708333333333333,0.25416666666666665,0.2854166666666666,0.1,1300,1.0,linear,3.99
sub-005,480,53421,12,10,0.35833333333333334,0.35833333333333334,0.32083333333333336,0.39375000000000004,0.1,1300,1.0,linear,3.58
